UID,SITE_ID,STATE,DATE_COL,BATCH_ID,PARAMETER,PARAMETER_2,PARAMETER_NAME,RESULT,UNITS,MDL,MRL,PQL,DATE_ANALYZED,HOLDING_TIME,QACODE,LAB_SAMPLE_ID,SAMPLE_ID,METHOD
63,NCCA10-1133,NC,40338,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.6325,mg N/L,0.015,0.03,,40350,12,,1010059,567471,
63,NCCA10-1133,NC,40338,100625,CHLA,Chlorophyll_a_ugL,Chlorophyll A,9.79,ug/L,0.09,,,40354,16,J01,1010059,567472,
64,NCCA10-1141,NC,40351,100701.2,PTL,Total_phosphorus_mgL,Total Phosphorus,0.015376875,mg P/L,0.0012,0.0024,,40360,9,,1010146,570421,
64,NCCA10-1141,NC,40351,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,0.164375,mg N/L,0.015,0.03,,40360,9,,1010146,570421,
64,NCCA10-1141,NC,40351,100701,CHLA,Chlorophyll_a_ugL,Chlorophyll A,3.04,ug/L,0.09,,,40360,9,J01,1010146,570422,
65,NCCA10-1149,NC,40345,100630.4,PTL,Total_phosphorus_mgL,Total Phosphorus,0.036338,mg P/L,0.0012,0.0024,,40359,14,,1010102,566931,
65,NCCA10-1149,NC,40345,100630.4,NTL,Total_nitrogen_mgL,Total Nitrogen,0.443,mg N/L,0.015,0.03,,40359,14,,1010102,566931,
65,NCCA10-1149,NC,40345,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,7.51,ug/L,0.09,,,40358,13,J01,1010102,566932,
66,NCCA10-1159,NC,40351,100701.2,PTL,Total_phosphorus_mgL,Total Phosphorus,0.078323125,mg P/L,0.0012,0.0024,,40360,9,,1010151,566951,
66,NCCA10-1159,NC,40351,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,0.535625,mg N/L,0.015,0.03,,40360,9,,1010151,566951,
66,NCCA10-1159,NC,40351,100701,CHLA,Chlorophyll_a_ugL,Chlorophyll A,10.96,ug/L,0.09,,,40360,9,J01,1010151,566952,
67,NCCA10-1162,NC,40331,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.60875,mg N/L,0.015,0.03,,40350,19,,1010021,567411,
67,NCCA10-1162,NC,40331,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.05833375,mg P/L,0.0012,0.0024,,40350,19,,1010021,567411,
67,NCCA10-1162,NC,40331,100623,CHLA,Chlorophyll_a_ugL,Chlorophyll A,13.63,ug/L,0.09,,,40352,21,J01,1010021,567412,
68,NCCA10-1187,NC,40336,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.7125,mg N/L,0.015,0.03,,40350,14,,1010035,567451,
68,NCCA10-1187,NC,40336,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.04730875,mg P/L,0.0012,0.0024,,40350,14,,1010035,567451,
68,NCCA10-1187,NC,40336,100624,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.42,ug/L,0.09,,,40353,17,J01,1010035,567452,
69,NCCA10-1188,NC,40338,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.22875,mg N/L,0.015,0.03,,40350,12,,1010058,570301,
69,NCCA10-1188,NC,40338,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.0293375,mg P/L,0.0012,0.0024,,40350,12,,1010058,570301,
69,NCCA10-1188,NC,40338,100625,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.38,ug/L,0.09,,,40354,16,J01,1010058,570302,
70,NCCA10-1190,FL,40344,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.64625,mg N/L,0.015,0.03,,40351,7,,1010084,567231,
70,NCCA10-1190,FL,40344,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.06214125,mg P/L,0.0012,0.0024,,40351,7,,1010084,567231,
70,NCCA10-1190,FL,40344,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.75,ug/L,0.09,,,40357,13,J01,1010084,567232,
71,NCCA10-1193,FL,40343,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.81125,mg N/L,0.015,0.03,,40351,8,,1010072,567011,
71,NCCA10-1193,FL,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.096895,mg P/L,0.0012,0.0024,,40351,8,,1010072,567011,
71,NCCA10-1193,FL,40343,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.24,ug/L,0.09,,,40357,14,J01,1010072,567012,
72,NCCA10-1197,FL,40345,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,1.308,mg N/L,0.015,0.03,,40360,15,,1010094,567031,
72,NCCA10-1197,FL,40345,100630.4,PTL,Total_phosphorus_mgL,Total Phosphorus,0.07672,mg P/L,0.0012,0.0024,,40359,14,,1010094,567031,
72,NCCA10-1197,FL,40345,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,51.14,ug/L,0.09,,,40358,13,J01,1010094,567032,
73,NCCA10-1201,FL,40344,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.04489625,mg P/L,0.0012,0.0024,,40351,7,,1010085,567111,
73,NCCA10-1201,FL,40344,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.27375,mg N/L,0.015,0.03,,40351,7,,1010085,567111,
73,NCCA10-1201,FL,40344,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.8,ug/L,0.09,,,40357,13,J01,1010085,567112,
74,NCCA10-1206,FL,40346,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.28375,mg N/L,0.015,0.03,,40360,14,,1010130,567151,
74,NCCA10-1206,FL,40346,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.03963875,mg P/L,0.0012,0.0024,,40360,14,,1010130,567151,
74,NCCA10-1206,FL,40346,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,4.35,ug/L,0.09,,,40359,13,J01,1010130,567152,
109,NCCA10-1209,FL,40345,100630.4,PTL,Total_phosphorus_mgL,Total Phosphorus,0.069065,mg P/L,0.0012,0.0024,,40359,14,,1010093,567081,
109,NCCA10-1209,FL,40345,100630.4,NTL,Total_nitrogen_mgL,Total Nitrogen,0.90375,mg N/L,0.015,0.03,,40359,14,,1010093,567081,
109,NCCA10-1209,FL,40345,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.87,ug/L,0.09,,,40358,13,J01,1010093,567082,
110,NCCA10-1212,FL,40343,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.655,mg N/L,0.015,0.03,,40351,8,,1010070,567201,
110,NCCA10-1212,FL,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.10470125,mg P/L,0.0012,0.0024,,40351,8,,1010070,567201,
110,NCCA10-1212,FL,40343,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,7.77,ug/L,0.09,,,40357,14,J01,1010070,567202,
111,NCCA10-1213,FL,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.15590375,mg P/L,0.0012,0.0024,,40351,8,,1010071,567191,
111,NCCA10-1213,FL,40343,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.74625,mg N/L,0.015,0.03,,40351,8,,1010071,567191,
111,NCCA10-1213,FL,40343,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,10.92,ug/L,0.09,,,40357,14,J01,1010071,567192,
177,NCCA10-1294,FL,40346,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.2625,mg N/L,0.015,0.03,,40360,14,,1010133,567221,
177,NCCA10-1294,FL,40346,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.00229875,mg P/L,0.0012,0.0024,,40360,14,J03,1010133,567221,
177,NCCA10-1294,FL,40346,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.76,ug/L,0.09,,,40359,13,J01,1010133,567222,
184,NCCA10-1295,FL,40346,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.19625,mg N/L,0.015,0.03,,40360,14,,1010132,566991,
184,NCCA10-1295,FL,40346,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.00278625,mg P/L,0.0012,0.0024,,40360,14,,1010132,566991,
184,NCCA10-1295,FL,40346,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,2.54,ug/L,0.09,,,40359,13,J01,1010132,566992,
185,NCCA10-1297,FL,40345,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.01277375,mg P/L,0.0012,0.0024,,40360,15,,1010135,567101,
185,NCCA10-1297,FL,40345,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.2875,mg N/L,0.015,0.03,,40360,15,,1010135,567101,
185,NCCA10-1297,FL,40345,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,4.5,ug/L,0.09,,,40359,14,J01,1010135,567102,
186,NCCA10-1299,FL,40344,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.62,mg N/L,0.015,0.03,,40360,16,,1010134,567291,
186,NCCA10-1299,FL,40344,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.055835,mg P/L,0.0012,0.0024,,40360,16,,1010134,567291,
186,NCCA10-1299,FL,40344,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,9.91,ug/L,0.09,,,40359,15,J01,1010134,567292,
187,NCCA10-1328,LA,40345,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.08135875,mg P/L,0.0012,0.0024,,40360,15,,1010105,567061,
187,NCCA10-1328,LA,40345,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.9325,mg N/L,0.015,0.03,,40360,15,,1010105,567061,
187,NCCA10-1328,LA,40345,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,22.39,ug/L,0.09,,,40358,13,J01,1010105,567062,
188,NCCA10-1331,LA,40344,100630.4,PTL,Total_phosphorus_mgL,Total Phosphorus,0.07697375,mg P/L,0.0012,0.0024,,40359,15,,1010092,567021,
188,NCCA10-1331,LA,40344,100630.4,NTL,Total_nitrogen_mgL,Total Nitrogen,0.6675,mg N/L,0.015,0.03,,40359,15,,1010092,567021,
188,NCCA10-1331,LA,40344,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,18.73,ug/L,0.09,,,40358,14,J01,1010092,567022,
189,NCCA10-1332,LA,40344,100630.4,PTL,Total_phosphorus_mgL,Total Phosphorus,0.06983125,mg P/L,0.0012,0.0024,,40359,15,,1010091,567051,
189,NCCA10-1332,LA,40344,100630.4,NTL,Total_nitrogen_mgL,Total Nitrogen,0.92,mg N/L,0.015,0.03,,40359,15,,1010091,567051,
189,NCCA10-1332,LA,40344,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,24.75,ug/L,0.09,,,40358,14,J01,1010091,567052,
190,NCCA10-1335,LA,40343,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.48,mg N/L,0.015,0.03,,40351,8,,1010083,567071,
190,NCCA10-1335,LA,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.03654375,mg P/L,0.0012,0.0024,,40351,8,,1010083,567071,
190,NCCA10-1335,LA,40343,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,6.62,ug/L,0.09,,,40357,14,J01,1010083,567072,
191,NCCA10-1668,FL,40331,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.0835825,mg P/L,0.0012,0.0024,,40350,19,,1010013,570251,
191,NCCA10-1668,FL,40331,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.425,mg N/L,0.015,0.03,,40350,19,,1010013,570251,
191,NCCA10-1668,FL,40331,100623,CHLA,Chlorophyll_a_ugL,Chlorophyll A,3.87,ug/L,0.09,,,40352,21,J01,1010013,570252,
193,NCCA10-2111,CA,40360,100714.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.04718875,mg P/L,0.0012,0.0024,,40373,13,,1010241,567951,
193,NCCA10-2111,CA,40360,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.26125,mg N/L,0.015,0.03,,40373,13,,1010241,567951,
193,NCCA10-2111,CA,40360,100709,CHLA,Chlorophyll_a_ugL,Chlorophyll A,2.94,ug/L,0.09,,,40368,8,J01,1010241,567952,
194,NCCA10-2301,FL,40344,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.49625,mg N/L,0.015,0.03,,40360,16,,1010131,567211,
194,NCCA10-2301,FL,40344,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.05009625,mg P/L,0.0012,0.0024,,40360,16,,1010131,567211,
195,NCCA10-2302,FL,40345,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.2975,mg N/L,0.015,0.03,,40360,15,,1010129,567131,
195,NCCA10-2302,FL,40345,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.01007875,mg P/L,0.0012,0.0024,,40360,15,,1010129,567131,
195,NCCA10-2302,FL,40345,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,2.49,ug/L,0.09,,,40359,14,J01,1010129,567132,
196,NCCAGL10-GLBA10-031,MI,40350,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,10,N,1010119,564451,
196,NCCAGL10-GLBA10-031,MI,40350,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.3525,mg N/L,0.036,,,40360,10,,1010119,564451,
196,NCCAGL10-GLBA10-031,MI,40350,100630,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.59,ug/L,0.09,,,40359,9,J01,1010119,564452,
197,NCCAGL10-GLBA10-075,MI,40351,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,0.353125,mg N/L,0.036,,,40360,9,,1010155,564411,
197,NCCAGL10-GLBA10-075,MI,40351,100701.2,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,9,N,1010155,564411,
197,NCCAGL10-GLBA10-075,MI,40351,100701,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.47,ug/L,0.09,,,40360,9,J01,1010155,564412,
198,NCCAGL10-GLBA10-079,MI,40346,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.39875,mg N/L,0.036,,,40360,14,,1010104,564461,
198,NCCAGL10-GLBA10-079,MI,40346,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,14,N,1010104,564461,
198,NCCAGL10-GLBA10-079,MI,40346,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.79,ug/L,0.09,,,40358,12,J01,1010104,564462,
199,NCCAGL10-GLBA10-158,MI,40352,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,0.356875,mg N/L,0.036,,,40360,8,,1010163,564611,
199,NCCAGL10-GLBA10-158,MI,40352,100701.2,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,8,N,1010163,564611,
199,NCCAGL10-GLBA10-158,MI,40352,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.49,ug/L,0.09,,,40361,9,J01,1010163,564612,
200,NCCAGL10-NPS09-021,MI,40353,100707.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.003470375,mg P/L,0.001,0.004,,40366,13,J03,1010174,565331,
200,NCCAGL10-NPS09-021,MI,40353,100707.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.418875,mg N/L,0.036,,,40366,13,,1010174,565331,
200,NCCAGL10-NPS09-021,MI,40353,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.62,ug/L,0.09,,,40361,8,J01,1010174,565332,
211,NCCAGL10-1157,OH,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.07838625,mg P/L,0.001,0.004,,40351,8,,1010075,561121,
211,NCCAGL10-1157,OH,40343,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,1.659,mg N/L,0.036,,,40360,17,,1010075,561121,
211,NCCAGL10-1157,OH,40343,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,93.08,ug/L,0.09,,,40357,14,J01,1010075,561122,
212,NCCAGL10-1149,OH,40351,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,1.415,mg N/L,0.036,,,40373,22,,1010137,561471,
212,NCCAGL10-1149,OH,40351,100701.2,PTL,Total_phosphorus_mgL,Total Phosphorus,0.019129375,mg P/L,0.001,0.004,,40360,9,,1010137,561471,
212,NCCAGL10-1149,OH,40351,100701,CHLA,Chlorophyll_a_ugL,Chlorophyll A,7.66,ug/L,0.09,,,40360,9,J01,1010137,561472,
213,NCCAGL10-1144,OH,40346,100714.1,NTL,Total_nitrogen_mgL,Total Nitrogen,3.381,mg N/L,0.036,,,40373,27,,1010106,561301,
213,NCCAGL10-1144,OH,40346,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.07889125,mg P/L,0.001,0.004,,40360,14,,1010106,561301,
213,NCCAGL10-1144,OH,40346,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,3.94,ug/L,0.09,,,40358,12,J01,1010106,561302,
214,NCCA10-1336,LA,40353,100707.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.79125,mg N/L,0.015,0.03,,40366,13,,1010177,566981,
214,NCCA10-1336,LA,40353,100707.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.072140875,mg P/L,0.0012,0.0024,,40366,13,,1010177,566981,
214,NCCA10-1336,LA,40353,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,19.42746667,ug/L,0.09,,,40361,8,J01,1010177,567042,
215,NCCA10-1324,LA,40353,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,20.5,ug/L,0.09,,,40361,8,J01,1010172,570372,
215,NCCA10-1324,LA,40353,100707.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.74425,mg N/L,0.015,0.03,,40366,13,,1010172,570371,
215,NCCA10-1324,LA,40353,100707.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.064448875,mg P/L,0.0012,0.0024,,40366,13,,1010172,570371,
247,NCCA10-1046,NH,40358,101109,PTL,Total_phosphorus_mgL,Total Phosphorus,0.043,mg P/L,0.007,,,40491,,Q06,NCAW06291001,566941,
247,NCCA10-1046,NH,40358,120101,CHLA,Chlorophyll_a_ugL,Chlorophyll A,2.33,ug/L,0.06,,,40909,,Q06,NCAW06291001,566942,
247,NCCA10-1046,NH,40358,101008,NTL,Total_nitrogen_mgL,Total Nitrogen,0.26,mg N/L,0.015,,,40459,,Q06,NCAW06291001,566941,
248,NCCA10-1047,NH,40359,101109,PTL,Total_phosphorus_mgL,Total Phosphorus,0.049,mg P/L,0.007,,,40491,,Q06,NCAW06301001,568351,
248,NCCA10-1047,NH,40359,120101,CHLA,Chlorophyll_a_ugL,Chlorophyll A,3.47,ug/L,0.06,,,40909,,Q06,NCAW06301001,568352,
248,NCCA10-1047,NH,40359,101008,NTL,Total_nitrogen_mgL,Total Nitrogen,0.265,mg N/L,0.015,,,40459,,Q06,NCAW06301001,568351,
249,NCCA10-1489,FL,40337,100624,CHLA,Chlorophyll_a_ugL,Chlorophyll A,1.27,ug/L,0.09,,,40353,16,J01,1010041,567182,
249,NCCA10-1489,FL,40337,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.008185,mg P/L,0.0012,0.0024,,40350,13,,1010041,567181,
249,NCCA10-1489,FL,40337,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.3725,mg N/L,0.015,0.03,,40350,13,,1010041,567181,
250,NCCA10-1671,FL,40331,100623,CHLA,Chlorophyll_a_ugL,Chlorophyll A,4.42,ug/L,0.09,,,40352,21,J01,1010012,570262,
250,NCCA10-1671,FL,40331,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.09624125,mg P/L,0.0012,0.0024,,40350,19,,1010012,570261,
250,NCCA10-1671,FL,40331,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.33625,mg N/L,0.015,0.03,,40350,19,,1010012,570261,
251,NCCA10-1672,FL,40332,100623,CHLA,Chlorophyll_a_ugL,Chlorophyll A,7.69,ug/L,0.09,,,40352,20,J01,1010017,570272,
251,NCCA10-1672,FL,40332,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.16950375,mg P/L,0.0012,0.0024,,40350,18,,1010017,570271,
251,NCCA10-1672,FL,40332,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.5625,mg N/L,0.015,0.03,,40350,18,,1010017,570271,
252,NCCA10-1674,FL,40333,100624,CHLA,Chlorophyll_a_ugL,Chlorophyll A,5.94,ug/L,0.09,,,40353,20,J01,1010038,567162,
252,NCCA10-1674,FL,40333,100621.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.03524375,mg P/L,0.0012,0.0024,,40350,17,,1010038,567161,
252,NCCA10-1674,FL,40333,100621.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.39,mg N/L,0.015,0.03,,40350,17,,1010038,567161,
256,NCCAGL10-GLBA10-091,MI,40343,100628,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.98,ug/L,0.09,,,40357,14,J01,1010081,561942,
256,NCCAGL10-GLBA10-091,MI,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,8,N,1010081,561941,
256,NCCAGL10-GLBA10-091,MI,40343,100622.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.33625,mg N/L,0.036,,,40351,8,,1010081,561941,
257,NCCAGL10-GLBA10-003,MI,40353,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.84,ug/L,0.09,,,40361,8,J01,1010176,565172,
257,NCCAGL10-GLBA10-003,MI,40353,100707.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.004011875,mg P/L,0.001,0.004,,40366,13,,1010176,565171,
257,NCCAGL10-GLBA10-003,MI,40353,100707.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.3985,mg N/L,0.036,,,40366,13,,1010176,565171,
258,NCCAGL10-2091,MI,40352,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.32,ug/L,0.09,,,40361,9,J01,1010161,563112,
258,NCCAGL10-2091,MI,40352,100701.2,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,8,N,1010161,563111,
258,NCCAGL10-2091,MI,40352,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,0.335625,mg N/L,0.036,,,40360,8,,1010161,563111,
259,NCCAGL10-1166,MI,40345,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,15.21,ug/L,0.09,,,40358,13,J01,1010103,563042,
259,NCCAGL10-1166,MI,40345,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.06839375,mg P/L,0.001,0.004,,40360,15,,1010103,563041,
259,NCCAGL10-1166,MI,40345,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.7225,mg N/L,0.036,,,40360,15,,1010103,563041,
260,NCCAGL10-1160,MI,40346,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,1.22,ug/L,0.09,,,40358,12,J01,1010111,562402,
260,NCCAGL10-1160,MI,40346,100701.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.0149825,mg P/L,0.001,0.004,,40360,14,,1010111,562401,
260,NCCAGL10-1160,MI,40346,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.66625,mg N/L,0.036,,,40360,14,,1010111,562401,
261,NCCAGL10-1154,MI,40343,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,30.36,ug/L,0.09,,,40358,15,J01,1010089,563122,
261,NCCAGL10-1154,MI,40343,100622.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.0761725,mg P/L,0.001,0.004,,40351,8,,1010089,563121,
261,NCCAGL10-1154,MI,40343,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,3.009,mg N/L,0.036,,,40360,17,,1010089,563121,
262,NCCAGL10-1140,MI,40344,100629,CHLA,Chlorophyll_a_ugL,Chlorophyll A,19.45,ug/L,0.09,,,40358,14,J01,1010100,561882,
262,NCCAGL10-1140,MI,40344,100701.1,NTL,Total_nitrogen_mgL,Total Nitrogen,2.055,mg N/L,0.036,,,40360,16,,1010100,561881,
262,NCCAGL10-1140,MI,40344,100630.4,PTL,Total_phosphorus_mgL,Total Phosphorus,0.0831675,mg P/L,0.001,0.004,,40359,15,,1010100,561881,
266,NCCAGL10-1134,MI,40353,100702,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.3,ug/L,0.09,,,40361,8,J01,1010178,561542,
266,NCCAGL10-1134,MI,40353,100707.1,NTL,Total_nitrogen_mgL,Total Nitrogen,0.463,mg N/L,0.036,,,40366,13,,1010178,561541,
266,NCCAGL10-1134,MI,40353,100707.1,PTL,Total_phosphorus_mgL,Total Phosphorus,0.001,mg P/L,0.001,0.004,,40909,13,N,1010178,561541,
267,NCCAGL10-1129,MI,40350,100701,CHLA,Chlorophyll_a_ugL,Chlorophyll A,0.25,ug/L,0.09,,,40360,10,J01,1010142,561642,
267,NCCAGL10-1129,MI,40350,100701.2,NTL,Total_nitrogen_mgL,Total Nitrogen,0.378125,mg N/L,0.036,,,40360,10,,1010142,561641,
